	factor_1	factor_2	factor_3
AC092821.3	0.0	0.0	0.0
CLEC2D	0.0	0.0	0.0
KLRF1	0.0	0.0	0.0
CLEC9A	0.0	0.0	0.0
KLRD1	0.0	0.0	0.0
LINC02446	0.0	0.0	0.0
AC244131.2	0.0	0.0	0.0
SPX	0.0	0.0	0.0
AC092794.1	0.0	0.0	0.0
AC055720.1	0.0	0.0	0.0
AC024896.1	0.0	0.0	0.0
MED21	0.0	0.0	0.0
ETFBKMT	0.0	0.0	0.0
AC121334.4	0.0	0.0	0.0
C12orf40	0.0	0.0	0.0
LRRK2	0.0	0.0	0.0
PCED1B	0.0	0.0	0.0
AC004466.1	0.0	0.0	0.0
SCN8A	0.0	0.0	0.0
KRT86	0.0	0.0	0.0
TNS2	0.0	0.0	0.0
SOAT2	0.0	0.0	0.0
DGKA	0.0	0.0	0.0
RPS26	0.0	0.0	0.0
AC026120.3	0.0	0.0	0.0
LRP1	0.0	0.0	0.0
KIF5A	0.0	0.0	0.0
DTX3	0.0	0.0	0.0
SRGAP1	0.0	0.0	0.0
MSRB3	0.0	0.0	0.0
IRAK3	0.0	0.0	0.0
HELB	0.0	0.0	0.0
DYRK2	0.0	0.0	0.0
IFNG-AS1	0.0	0.0	0.0
LYZ	0.0	0.0	0.0
GLIPR1L2	0.0	0.0	0.0
NAV3	0.0	0.0	0.0
AC010201.3	0.0	0.0	0.0
AC123512.1	0.0	0.0	0.0
CLLU1	0.0	0.0	0.0
LINC02397	0.0	0.0	0.0
C12orf74	0.0	0.0	0.0
AC138123.2	0.0	0.0	0.0
CRADD	0.0	0.0	0.0
ALDH2	0.0	0.0	0.0
AC073575.1	0.0	0.0	0.0
AC004217.1	0.0	0.0	0.0
DTX1	0.0	0.0	0.0
CFAP73	0.0	0.0	0.0
BICDL1	0.0	0.0	0.0
BCL7A	0.0	0.0	0.0
LRRC43	0.0	0.0	0.0
B3GNT4	0.0	0.0	0.0
HIP1R	0.0	0.0	0.0
AC073912.1	0.0	0.0	0.0
AC127070.1	0.0	0.0	0.0
AC026786.2	0.0	0.0	0.0
LINC00384	0.0	0.0	0.0
ZAR1L	0.0	0.0	0.0
MRPS31	0.0	0.0	0.0
LINC01050	0.0	0.0	0.0
TSC22D1	0.0	0.0	0.0
KCTD4	0.0	0.0	0.0
LCP1	0.0	0.0	0.0
DLEU7	0.0	0.0	0.0
TMEM272	0.0	0.0	0.0
PCDH20	0.0	0.0	0.0
PCDH9	0.0	0.0	0.0
KLF12	0.0	0.0	0.0
AL355390.1	0.0	0.0	0.0
LMO7-AS1	0.0	0.0	0.0
KCTD12	0.0	0.0	0.0
SPRY2	0.0	0.0	0.0
DCT	0.0	0.0	0.0
DZIP1	0.0	0.0	0.0
DOCK9	0.0	0.0	0.0
GPR183	0.0	0.0	0.0
CCDC168	0.0	0.0	0.0
IRS2	0.0	0.0	0.0
LINC00346	0.0	0.0	0.0
LINC00565	0.0	0.0	0.0
PSPC1-AS2	0.0	0.0	0.0
AL136962.1	0.0	0.0	0.0
LINC00543	0.0	0.0	0.0
