	B	B	B	MP	MP	MP	NK	NK	NK
	p	logFC	p_adj	p	logFC	p_adj	p	logFC	p_adj
CXCR1									
AC068946.3									
PTPRN									
SERPINE2									
IRS1									
GPR55									
AC017104.6									
NMUR1									
AC019130.1									
TIGD1									
AC064852.1									
LINC01891									
ARL4C									
IQCA1									
COL6A3									
AC112721.1									
AC112721.2									
AC012076.1									
LINC02610									
HES6									
PASK									
BOK-AS1									
AC114730.2									
PDCD1									
AC079779.1									
AC079779.2									
TPO									
AC231981.1									
COLEC11									
RSAD2									
AC013460.1									
AC092580.4									
LINC01871									
U91324.1									
ID2									
GRHL1									
RN7SL832P									
C2orf50									
TRIB2									
AC130814.1									
RHOB									
TDRD15									
KLHL29									
AC009228.1									
EFR3B									
GAREM2									
DNAJC5G									
TRIM54									
KRTCAP3									
TOGARAM2									
LBH									
LINC00486									
LTBP1									
VIT									
GPATCH11									
PLEKHH2									
LINC01118									
SPTBN1									
AC007381.2									
AC107081.2									
LGALSL									
MEIS1									
PLEK									
AC016700.3									
ANKRD53									
EMX1									
AC010913.1									
AC007681.1									
AC005034.6									
DNAH6									
AC022210.2									
VAMP5									
GNLY									
IGKV4-1									
IGKV1D-16									
IGKV1D-43									
MAL									
ANKRD36									
ZAP70									
IL18RAP									
GPR45									
AC012360.1									
NCK2									
ECRG4									
ZC3H6									
AC012442.1									
AC016745.2									
LINC01191									
PTPN4									
AC079776.5									
TNFAIP6									
UPP2									
TBR1									
SLC4A10									
AC019197.1									
TTC21B-AS1									
MYO3B									
ITGA6									
PDK1									
AC010894.3									
LINC01934									
AC021851.1									
FSIP2									
C2orf88									
AC067945.3									
AC067945.4									
AC013264.1									
AC020550.2									
AC011997.1									
CD28									
CTLA4									
PARD3B									
ZDBF2									
AC008269.1									
LINC01857									
MAP2									
AC007038.1									
VWC2L									
SNHG31									
AC073284.1									
GPBAR1									
SLC11A1									
VIL1									
AC009974.1									
TMEM198									
SP140									
ITM2C									
AC017104.3									
AC073476.3									
TRPM8									
AC122134.1									
AGAP1									
AC104667.1									
RAMP1									
ERFE									
AC012485.3									
AC124862.1									
ANO7									
BOK									
RTP5									
LINC01238									
AVP									
AL031670.1									
ESF1									
AL079338.1									
BFSP1									
DZANK1									
LINC00237									
CD93									
AL096677.1									
APMAP									
AL078587.1									
AL035071.2									
ITCH-AS1									
AL035420.2									
AL023803.1									
MAFB									
Z98752.4									
STK4-AS1									
WFDC10B									
TNNC2									
AL162458.1									
ZMYND8									
KCNB1									
KCNG1									
NFATC2									
ATP9A									
